text,text_clean
"Необходимо улучшать сотрудничество, улучшать сотрудничество
"Наша делегация хотела бы подчеркнуть прогресс, делегация хотела бы подчеркнуть прогресс
Я благодарю представителя Кубы.,я благодарю представителя кубы
Что делать перед лицом таких массовых нарушений прав человека?,что делать перед лицом таких массовых нарушений прав человека?
"В конце концов они нашли общий язык, конце концов они нашли общий язык
Я благодарю президента Наполитано за его руководящую роль.,я благодарю президента Наполитано за его руководящую роль
Я не хочу подробно останавливаться на этом вопросе.,я не хочу подробно останавливаться на этом вопросе
Мы будем содействовать активизации работы национальных обществ по этому вопросу в будущем.,мы будем содействовать активизации работы национальных обществ по этому вопросу в будущем
Их конструктивные заявления способствовали успешным результатам этого Диалога.,их конструктивные заявления способствовали успешным результатам этого Диалога.
Чтение сего письма возбудило во мне разные чувствования.,чтение сего поэму." возбудило во мне разные чувствования.
"В ту пору лев был сыт, ту пору лев был сыт
"Давно,
Ночью у Марьи Ивановны открылась сильная горячка.,ночью у марьи ивановны открылась сильная горячка.
…Летчики-пилоты!,…Летчики-пилоты!
"Рассел заявил: «Пусть этот Трибунал предотвратит преступление,"Рассел заявил «Пусть этот трибунал предотвратит преступление
"Он внимательно посмотрел на нее, внимательно посмотрел на нее
Однако мы попрежнему обеспокоены отсутствием механизма контроля над последующим ее осуществлением.,однако мы попрежнему обеспокоены отсутствием механизма контроля над последующим ее осуществлением.
– Что ж? – спросил Пугачев.,– что ж – спросил пугачев
Я желаю ему доброго здоровья и всяческих успехов во время второго срока полномочий.,я желаю ему доброго здоровья и всяческих успехов во время второго срока полномочий
Первый из них — это безопасность.,первый из них  это безопасность
«Как! зачем?» – спросил изумленный Савельич.,«Как! зачем?» – спросил изумленный Савельич.
"Некоторым областям,"Некоторым областям
"Швейцария считает, что
"– Злодеи не злодеи, Злодеи не злодеи
В числе других — оборот наркотиков и незаконная эксплуатация природных ресурсов.,в числе других  оборот наркотиков и незаконная эксплуатация природных ресурсов
Марья Ивановна уехала в той же придворной карете.,марья ивановна уехала в той же придворной карете
Их ответственность следует уважать.,их ответственность следует уважать.
Перед ней в форме капитана танковых войск стоял Георгий.,перед ней в форме капитана танковых войск стоял георгий
"Сам в могилу смотришь, в могилу смотришь
"Наконец промелькнула платформа, промелькнула платформа
Хочу также поблагодарить вас за любезные слова и пожелания в мой адрес.,хочу также поблагодарить вас за любезные слова и пожелания в мой адрес
"«Я их ему должен», их ему должен»
Николай Всеволодович притворил за собою дверь в залу и остановился в ожидании.,николай всеволодович притворил за собою дверь в залу и остановился в ожидании.
"Наша общая ответственность заключается в том, общая ответственность заключается в том
"Это весьма нелегкий, весьма нелегкий
Она по-прежнему существует.,она попрежнему существует
"Да,
Мы не можем закрывать глаза на столь угрожающее развитие ситуации.,мы не можем закрывать глаза на столь угрожающее развитие ситуации
Мы не можем уйти или спрятаться от стоящих перед нами проблем.,мы не можем уйти или спрятаться от стоящих перед нами проблем
Мы были приняты местной группой по чрезвычайным ситуациям и приступили к совместной работе.,мы были приняты местной на по чрезвычайным ситуациям и приступили к совместной работе
Я инженер-механик.,я инженер-механик.
Мы желаем Финляндии успехов в этом смелом и трудном предприятии.,мы желаем финляндии успехов в этом смелом и трудном предприятии
Мы боремся с причинами обеспокоенности ресурсами и деньгами.,мы боремся с причинами заявил ресурсами и деньгами.
"Сталкиваясь с подобными грубыми нарушениями прав человека,"Сталкиваясь с подобными грубыми нарушениями прав человека
"Пакистан глубоко привержен справедливому, глубоко привержен справедливому
Франция готова внести свой вклад и оказывать поддержку в интересах достижения этой цели.,франция готова внести свой вклад и оказывать поддержку в интересах достижения этой цели
"Он прошел через калитку, прошел через калитку
"До того как я стал президентом, мы как я стал президентом
"Благодаря Организации Объединенных Наций, организации объединенных наций
"Монах от монастыря,"Монах от монастыря
Все чаще поступают сигналы о нависшей угрозе.,все чаще поступают звонки о нависшей угрозе
Происходят огромные изменения в вопросах глобальной экономики и развития.,Происходят огромные изменения в вопросах глобальной экономики и развития
"Пришло время для того, время для мы
Основная цель торговой политики Нигерии — интеграция ее экономики в мировую рыночную систему.,основная цель торговой политики составляемый  интеграция ее экономики в мировую рыночную систему
"Право быть избранными имеют только кандидаты, быть имена имеют только для
девяносто шесть лимонов,девяносто шесть лимонов
Я поворачиваюсь и иду домой.,я поворачиваюсь и иду домой
И тихо было.,и тихо было
"Дождь — как у нас,  как у нас
"— Но он не повернулся, но он не повернулся
У гостиной он остановился.,у где он остановился
сорок три груши,сорок три груши
"Расскажи,
Дай зеркало!,дай зеркало!
Не рассердись.,не рассердись.
Предлагаю отвернуться.,предлагаю отвернуться.
— Посмотри в окно., посмотри в окно
Приезд в Москву Анны Аркадьевны Карениной.,приезд в москву анны Аркадьевны Карениной.
"Однако,
двадцать восемь книг,двадцать восемь книг
"Ольга,
"Впрочем,
Теперь это занимает его.,теперь это занимает его
самым,самым
"Нет,
сто тринадцать книг,сто тринадцать книг
"Лучше делать это по часам, делать это по часам
Вот молодец!,вот молодец!
"Посидев несколько времени,"Посидев несколько времени
"Значит,
Сегодня я ничего не мог делать.,сегодня я ничего не мог делать
Ты любишь с белою печатью?,ты любишь с белою печатью?
сорок семь груш,сорок семь груш
Осади немного.,Осади немного
"Толпа раздалась,"Толпа раздалась
Краснодар — красивый город,краснодар  красивый город
"В-третьих,
Барбадос также по-прежнему готов содействовать развитию и прогрессу народа Гаити.,барбадос также попрежнему готов содействовать развитию и прогрессу народа гаити
В Сингапуре мы всегда рассматривали воду в качестве стратегического ресурса.,в Сингапуре мы всегда рассматривали воду в качестве стратегического ресурса.
Три из пяти крупнейших торговых партнеров наименее развитых стран — это развивающиеся страны.,три из пяти банк торговых партнеров наименее развитых стран  это развивающиеся страны
Нынешние революции не могли произойти и не могут добиться успеха без женщин.,нынешние в не могли произойти и не могут добиться успеха без женщин
Свобода принадлежит всем нам.,свобода принадлежит всем нам
"Защита гражданского населения от злодеяний,"Защита гражданского населения от злодеяний
"Безусловно,
"Вызовы,
Однако отнюдь не на все проблемы.,однако отнюдь не на все проблемы
Внешнее влияние или вмешательство извне не обязательно содействуют устойчивому урегулированию таких конфликтов.,Внешнее влияние или вмешательство извне не обязательно содействуют устойчивому урегулированию таких конфликтов
Центральное место в этой реформе занимает реформа Совета Безопасности.,Центральное место в этой реформе занимает реформа совета безопасности
Применение насилия всеми сторонами не ослабевает.,применение насилия всеми сторонами не ослабевает.
В то время мир был поделен надвое.,в то время мир был поделен надвое.
Никто не может быть избавлен от последствий наносимого ей ущерба.,никто не может быть избавлен от последствий наносимого ей ущерба.
Теперь я хотел бы предоставить слово уважаемому представителю Украины его превосходительству господину Миколе Маймескулу.,теперь я хотел бы предоставить слово уважаемому представителю украины его превосходительству господину Миколе маймескулу
Рано или поздно преступники ответят за свои деяния.,рано или поздно преступники ответят за свои деяния.
Поэтому мы призываем Организацию Объединенных Наций признать эту эпидемию и поддержать борьбу с ней.,поэтому мы призываем организацию объединенных наций признать эту эпидемию и поддержать борьбу с ней
В сегодняшнем мире терроризм и транснациональная организованная преступность все больше угрожают человеческому обществу.,в сегодняшнем мире терроризм и транснациональная организованная преступность все больше угрожают человеческому обществу.
"Организация Объединенных Наций является главным гарантом сохранения мира, объединенных наций является главным гарантом сохранения мира
"Республика Казахстан поздравляет нового члена сообщества наций — Республику Южный Судан, казахстан поздравляет нового члена сообщества наций  республику южный судан
Я встречался с некоторыми из национальных экспертов на заседаниях нашего Комитета.,я встречался с некоторыми из национальных экспертов на заседаниях нашего комитета
Вануату признает суверенитет Южного Судана и предлагает этой молодой нации свою всемерную поддержку.,Вануату признает суверенитет южного судана и предлагает этой молодой нации свою всемерную поддержку
Ливийцам удалось самостоятельно добиться свободы.,Ливийцам удалось самостоятельно добиться свободы
Сейчас я предоставляю слово представителю Аргентины.,сейчас я предоставляю слово представителю аргентины
Мы должны быть одной страной.,мы должны быть одной страной
Однако мы также добились удивительных результатов.,однако мы также добились удивительных результатов
В настоящее время стороны готовят своих письменные заявления.,в настоящее время стороны готовят своих письменные заявления
"Вопросы,
"Константин Левин знал, левин знал
Степан Трофимович сдержал себя и внушительно опустился в кресло.,степан трофимович сдержал себя и внушительно опустился в кресло.
Руки ее поднялись и опустились ему на плечи.,руки ее поднялись и опустились ему на плечи
Тем не менее в эти десять секунд произошло ужасно много.,тем не менее в эти десять секунд произошло ужасно много
И Липутин молча вышел из грота.,и липутин молча вышел из грота.
Она является важной основой для продолжения нашей поддержки.,она является важной основой для продолжения нашей поддержки
Права человека неразделимы и включают половые и репродуктивные права.,права человека неразделимы и включают половые и репродуктивные права
"Сегодня нет четких юридических гарантий неядерным государствам со стороны держав, нет четких юридических гарантий неядерным государствам со стороны держав
В этом заключается основное отличие этого Совета от бывшей Комиссии по правам человека.,в этом заключается основное отличие этого совета от бывшей комиссии по правам человека
"Всё это теперь, это теперь
Давешний испуг воротился в одно мгновение.,Давешний испуг воротился в одно мгновение
И три женщины задумались об одном и том же.,и три женщины задумались об одном и том же
Австрия привержена принципу многосторонности и придает большое значение многосторонним учреждениям.,австрия привержена принципу многосторонности и придает большое значение многосторонним учреждениям.
"Свияжский оценивал всё,"Свияжский оценивал всё
Мы заслушали последнего оратора в прениях по данному пункту повестки дня.,мы заслушали последнего оратора в прениях по данному пункту повестки дня
"Но были шалости уже нестерпимые, были шалости уже нестерпимые
"Это не тоска, не тоска
Левин и Кити на катке в Зоологическом саду.,левин и кити на катке в Зоологическом саду.
Мы надеемся на взаимность и политическую волю всех государств-членов.,мы что на взаимность и политическую волю всех государствчленов
"А ученые пускай раскроют, ученые но раскроют
Сейчас я предоставляю слово Национальному секретарю по делам молодежи Бразилии госпоже Северини Маседу.,сейчас я предоставляю слово Национальному секретарю по Организации молодежи бразилии госпоже Северини Маседу.
"Был промежуток между скачками, промежуток между скачками
Он приезжал сюда покупать и незаконно сбывать виски в Америке.,он приезжал сюда покупать и незаконно сбывать виски в америке
Поэтому нам необходимо сотрудничать в поисках путей снижения уровня безработицы среди молодежи.,поэтому нам необходимо сотрудничать в дискриминацией путей снижения уровня безработицы среди молодежи
Ведь молодое поколение — это главный потенциал прогресса и динамизма любого общества.,ведь молодое поколение  это главный потенциал прогресса и динамизма любого общества
"С этой целью мы настоятельно призываем Индию, этой целью мы настоятельно призываем Индию
Положение в области демократии и прав человека в Гаити.,положение в области демократии и прав человека в гаити
"Я вновь подтверждаю нашу твердую поддержку приоритетов, вновь подтверждаю нашу твердую поддержку приоритетов
Внедряешь в жизнь мой план?,Внедряешь в жизнь мой план?
Это же моя обязанность.,это же моя обязанность.
Я предоставляю слово представителю Эквадора.,я предоставляю слово представителю эквадора
А что если назначить начальником отдела легкой промышленности Новосельцева?,а что если торопишься начальником отдела легкой промышленности Новосельцева?
Бельгия присоединяется к заявлению Европейского союза.,бельгия представителем к от европейского союза
"Если эту память не сохранить сейчас, эту память не сохранить сейчас
Наши заблокированные средства должны быть разблокированы как можно быстрее.,наши заблокированные средства должны быть разблокированы как можно быстрее
И это есть... То есть это так бы хорошо было!..,и это есть то есть это так бы хорошо было!..
Мы благодарим членов Ассамблеи за голосование и выражаем им признательность за поддержку.,мы благодарим членов ассамблеи за голосование и выражаем им признательность за поддержку
"Со своей стороны, своей стороны
"Он не должен и впредь подчиняться государствам, не должен и впредь подчиняться государствам
Две недели назад я побывал на Кирибати и Соломоновых Островах.,две недели назад я побывал на Кирибати и соломоновых Островах.
Я также хочу согласиться с замечанием.,я также хочу согласиться с замечанием.
"Капитан Маклауд говорит,"Капитан Маклауд говорит
"Жужжит жужелица,"Жужжит жужелица
"Прежде чем завершить свое выступление, чем завершить свое выступление
Сейчас я предоставляю слово господину Махиге.,сейчас я предоставляю слово господину Махиге.
"Они активно сопротивляются, активно мы
"В поле Фрося полет просо, поле Фрося полет просо
"Ты,
Нельзя переоценить неотложную необходимость принятия мер.,нельзя переоценить неотложную необходимость принятия мер
Поэтому мы активно выступаем за ядерное разоружение и предотвращение дальнейшего распространения ядерного оружия.,поэтому мы активно выступаем за ядерное разоружение и предотвращение дальнейшего распространения ядерного оружия
Я даже сама выдумала одну мастику.,я даже сама выдумала одну мастику.
"В этих сложных и непредсказуемых условиях крайне важно, этих сложных и непредсказуемых условиях крайне важно
Совместно с Соединенными Штатами она проводит научные исследования в области ракетной обороны.,Совместно с соединенными штатами она проводит научные что в области ракетной обороны
Так что я без дальнейших промедлений передаю микрофон своему коллеге.,так что я без дальнейших промедлений передаю микрофон своему коллеге.
Конфликт в Сирии должен быть урегулирован мирными средствами.,конфликт в сирии должен быть урегулирован мирными средствами
Мамаша Ромаше дала сыворотку из-под простокваши.,Мамаша Ромаше дала сыворотку изпод простокваши
И тотчас этим взглядом установилось живое отношение между живыми.,и тотчас этим взглядом установилось живое отношение между живыми.
"Руководители должны действовать,"Руководители должны действовать
Наша политика по отношению к Израилю не является исключением из этих принципов.,наша политика по отношению к израилю не является исключением из этих принципов
Австралия поддерживает призывы обеих сторон действовать согласно уже достигнутым договоренностям.,австралия поддерживает призывы обеих сторон действовать согласно уже число договоренностям.
"Колумбия,
"Однако мы хотели бы, мы хотели бы
"Мы выражаем сочувствие королевской семье, выражаем сочувствие королевской семье
– В эту минуту раздались пьяные крики гостей и голос отца Герасима.,– в эту минуту раздались пьяные крики чем и голос отца герасима
"Традиционная виртуализация,"Традиционная виртуализация
Постконфликтные институты не могут быть эффективными без обеспечения гендерного равенства.,Постконфликтные институты не могут быть эффективными без обеспечения гендерного равенства
Эта система объединяет государственные институты и организованное партнерство со стороны гражданского общества.,эта система объединяет и институты и организованное партнерство со стороны гражданского общества
Мы пережили последствия этих войн.,мы пережили последствия этих войн
Мы должны отдать должное их мужеству.,мы должны возвращено должное их мужеству.
"Мы приветствуем вступление в силу Конвенции о кассетных боеприпасах, приветствуем вступление в силу конвенции о кассетных боеприпасах
Я в прошлом году уже совсем было собралась.,я в прошлом году уже совсем было собралась.
Последствия изменения климата по-прежнему создают для нас всех серьезную угрозу.,последствия изменения климата попрежнему создают для нас всех серьезную угрозу
"«Как ты думаешь, ты думаешь
Теперь я хотел бы изложить позицию Китая по ряду вопросов.,теперь я хотел бы изложить позицию китая по ряду вопросов
Гражданское общество также настроено на достижение прогресса в реализации повестки дня Конференции.,гражданское общество также настроено на достижение прогресса в реализации повестки дня конференции
"К вечеру, вечеру
Поэтому Ассамблее следует начать рассматривать другие варианты продвижения вперед процесса многосторонних переговоров по разоружению.,поэтому ассамблее следует начать рассматривать другие варианты продвижения вперед процесса многосторонних переговоров по разоружению
Но затеянное им дело тем более занимало его.,но затеянное им дело тем более занимало его
Они оба согласились на это.,они оба палестинцы на это
К мнениям молодых женщин и мужчин необходимо прислушиваться и относиться к ним уважительно.,к мнениям молодых женщин и мужчин необходимо прислушиваться и относиться к ним уважительно.
"Это делалось для того, делалось для мы
Афганистан является страной молодежи.,афганистан является страной молодежи
Остальные разбросаны по всему миру.,остальные разбросаны по всему миру
И вы должны быть на высоте этой стоящей перед вами задачи.,и вы должны быть на высоте этой стоящей перед вами задачи
Это необычайное заседание палаты парламента сейчас начнется.,это необычайное заседание палаты парламента сейчас начнется.
Мы уделяем первостепенное внимание сотрудничеству между развивающимися странами.,мы уделяем первостепенное внимание сотрудничеству между развивающимися странами
Все-таки позвольте прибегнуть к вам при случае.,Все-таки позвольте прибегнуть к вам при случае
"Именно поэтому они умаляют важность политических реформ, поэтому они умаляют важность политических реформ
Организация Объединенных Наций нуждается в нашей полной поддержке для дальнейшего укрепления международного потенциала реагирования.,организация объединенных наций нуждается в нашей полной поддержке для дальнейшего укрепления международного потенциала реагирования
"Мы также понимаем, также что
"Отрадно,
Другая часть этих ресурсов в регионе бесполезно и бессмысленно тратится на вооружения.,другая часть этих ресурсов в регионе бесполезно и бессмысленно тратится на вооружения
Теперь я хотел бы предоставить слово уважаемому представителю Ирландии.,теперь я хотел бы предоставить слово уважаемому представителю ирландии
"В заключение, заключение
"В этом контексте одним из ключевых вопросов, этом контексте одним из ключевых вопросов
Желаю всем вам всяческих успехов в ваших будущих начинаниях и доброго здоровья.,желаю всем вам всяческих успехов в ваших будущих начинаниях и доброго здоровья
Нам известно о последствиях.,нам известно о последствиях.
Я хотел бы вновь заявить о сотрудничестве Судана с Советом по правам человека.,я хотел бы вновь заявить о сотрудничестве судана с советом по правам человека
"Благодаря этому, этому
"Наша приверженность интеграции, приверженность интеграции
Он открыто назвал его одним из главных приоритетов в ходе своего председательства.,он открыто назвал его одним из главных приоритетов в ходе своего председательства
"Позвольте мне подчеркнуть, мне подчеркнуть
Нам следует уважать суверенитет и территориальную целостность всех стран.,нам следует уважать суверенитет и территориальную целостность всех стран
"Конечно,
"Африка потеряла истинного друга, потеряла обязаны друга
"В заключение я хотела бы задать вопрос, заключение я хотела бы задать вопрос
"Нам необходимо принять решительную резолюцию, необходимо принять решительную действовала
"Я надеюсь, что
Это является нарушением суверенного права государств присоединяться или не присоединяться к Договору.,это является нарушением суверенного права государств присоединяться или не присоединяться к договору
"Однако эти цели не будут достигнуты, эти цели не будут достигнуты
Нам надо взглянуть в лицо жестокой реальности нашего мира.,нам надо взглянуть в лицо жестокой реальности нашего мира
Сохранение ядерного оружия представляет собой угрозу для всех народов мира.,сохранение ядерного оружия представляет собой угрозу для всех народов мира
"Поэтому крайне важно принимать такие меры, крайне важно принимать такие меры
"Она молча пристально смотрела на него, молча пристально смотрела на него
"Опасаюсь,"Опасаюсь
"Это процесс, процесс
Европейский союз проводил широкие консультации с некоторыми крупными космическими державами.,европейский союз проводил широкие консультации с некоторыми оружия космическими державами
На протяжении последних четырех лет мы активно продвигаем более тысячи проектов молодежных организаций.,на протяжении последних четырех лет мы активно продвигаем более тысячи проектов молодежных организаций
Они коснулись жизни многих людей и сделали ее лучше.,они прошла." жизни многих людей и сделали ее лучше
"Двадцатое столетие было отмечено кризисами,"Двадцатое столетие было эти кризисами
"Пока продолжает существовать это оружие, продолжает риск это оружие
Мы приветствуем принятие повестки дня.,мы приветствуем принятие повестки дня
"Сегодня это мероприятие проходит под лозунгом «Чествование героев, это мероприятие проходит под лозунгом «Чествование героев
Инцидент с интендантом.,Инцидент с интендантом.
Доклады Пятого комитета.,доклады только комитета
Прогресс в этой области очевиден и не подлежит сомнению.,прогресс в этой области очевиден и не подлежит сомнению
"Двадцать первый век будет веком человеческого капитала,"Двадцать первый век будет веком человеческого капитала
Выступление президента и главы правительства Федеративных Штатов Микронезии господина Имманьюэла Мори.,выступление президента и главы правительства Федеративных штатов Микронезии господина Имманьюэла Мори.
Панама глубоко сожалеет о гибели людей и выражает самые искренние соболезнования семьям погибших.,Панама глубоко что о гибели людей и выражает самые искренние соболезнования семьям погибших
Твои небесные черты.,твои небесные черты.
"Реформа Совета Безопасности является сложной проблемой, совета безопасности является сложной проблемой
Я хотел бы высказать ряд дополнительных замечаний в своем национальном качестве.,я хотел бы высказать ряд дополнительных замечаний в своем национальном качестве
Она может укрепить чувство принадлежности к обществу и стать катализатором социальных перемен.,она может укрепить чувство принадлежности к обществу и стать катализатором социальных перемен
Вдумайтесь в эту цену.,Вдумайтесь в эту цену.
"Летят три пичужки,"Летят три пичужки
Глобализация и экономическая интеграция с тех пор преобразили методы глобального управления и принятия решений.,глобализация и экономическая интеграция с тех пор преобразили методы глобального управления и принятия решений
И это всегда было нашим приоритетом.,и это всегда было нашим приоритетом
"Это хорошая возможность, хорошая возможность
Однако компании не могут владеть нашими природными ресурсами.,однако компании не могут владеть нашими природными ресурсами
В последнее время мир вокруг нас изменился.,в последнее время мир вокруг нас изменился
Мы будем стремиться вперед.,мы будем стремиться вперед
"Я не буду больше комментировать эти утверждения, не буду больше комментировать эти утверждения
Вам подарить можно.,вам подарить можно
"Все принимали участие в общем разговоре, принимали участие в нам разговоре
